"Time (ms)","Recording (a.u.)"
1.297965832E1,-1.791189238E-2
1.300049244E1,-1.683771610E-2
1.302132657E1,-1.460476499E-2
1.304216069E1,-1.091774926E-2
1.306299481E1,-6.089187693E-3
1.308382893E1,-5.596014671E-4
1.310466306E1,4.402058665E-3
1.312549718E1,8.530156687E-3
1.314633130E1,1.208310388E-2
1.316716542E1,1.545051858E-2
1.318799955E1,1.882530749E-2
1.320883367E1,2.242642641E-2
1.322966779E1,2.666670643E-2
1.325050191E1,3.085167892E-2
1.327133604E1,3.494421393E-2
1.329217016E1,3.769645095E-2
1.331300428E1,3.774527460E-2
1.333383840E1,3.628169745E-2
1.335467253E1,3.332290798E-2
1.337550665E1,2.954900265E-2
1.339634077E1,2.671899088E-2
1.341717489E1,2.397238463E-2
1.343800902E1,2.031824365E-2
1.345884314E1,1.589103229E-2
1.347967726E1,9.256530553E-3
1.350051138E1,6.393715739E-5
1.352134551E1,-9.513088502E-3
1.354217963E1,-2.004886419E-2
1.356301375E1,-3.181087971E-2
1.358384787E1,-4.204180464E-2
1.360468200E1,-5.204432458E-2
1.362551612E1,-6.279475987E-2
1.364635024E1,-7.149021327E-2
1.366718436E1,-8.031870425E-2
1.368801849E1,-9.094387293E-2
1.370885261E1,-1.000931337E-1
1.372968673E1,-1.091180444E-1
1.375052085E1,-1.186526567E-1
1.377135498E1,-1.254826635E-1
1.379218910E1,-1.312852800E-1
1.381302322E1,-1.369293332E-1
1.383385734E1,-1.397187710E-1
1.385469147E1,-1.408730447E-1
1.387552559E1,-1.416279376E-1
1.389635971E1,-1.404302716E-1
1.391719383E1,-1.400591433E-1
1.393802796E1,-1.409911066E-1
1.395886208E1,-1.380072534E-1
1.397969620E1,-1.324044168E-1
1.400053032E1,-1.233177930E-1
1.402136445E1,-1.074207276E-1
1.404219857E1,-9.043191373E-2
1.406303269E1,-7.332356274E-2
1.408386681E1,-5.477920175E-2
1.410470094E1,-3.865069523E-2
1.412553506E1,-2.380905673E-2
1.414636918E1,-8.147126995E-3
1.416720330E1,6.418043748E-3
1.418803743E1,2.207465097E-2
1.420887155E1,4.158854112E-2
1.422970567E1,6.046788767E-2
1.425053979E1,7.712313533E-2
1.427137392E1,9.179617465E-2
1.429220804E1,1.012480259E-1
1.431304216E1,1.070121080E-1
1.433387628E1,1.131129712E-1
1.435471041E1,1.208424494E-1
1.437554453E1,1.311320961E-1
1.439637865E1,1.439127922E-1
1.441721277E1,1.558853984E-1
1.443804690E1,1.665965319E-1
1.445888102E1,1.748782843E-1
1.447971514E1,1.776976138E-1
1.450054926E1,1.774452329E-1
1.452138339E1,1.740089804E-1
1.454221751E1,1.677259952E-1
1.456305163E1,1.620530486E-1
1.458388575E1,1.555850804E-1
1.460471988E1,1.467652321E-1
1.462555400E1,1.367079616E-1
1.464638812E1,1.244635880E-1
1.466722224E1,1.088390574E-1
